Ni,Nh1,Nh2,No,act_f,n_epochs,batchsize,lr,decay,lr_final,reg_type,alpha_reg,patience,train_loss,val_loss
1,72,72,1,sig,5000,1,0.009523113676542752,True,0.0005,None,0.0015586111308261064,400,1.1843240228206957,1.2871144062941127
1,79,79,1,sig,5000,1,0.0025162972564963066,True,0.0005,None,0.008290757885690218,400,1.2819882040141943,1.3769096071589204
1,5,5,1,leaky ReLU,5000,1,0.008574167056269295,True,0.0005,None,0.007424093389824104,400,2.322162116878895,2.6196059050362455
1,83,83,1,ReLU,5000,1,0.0046494778300641935,True,0.0005,L1,0.0050451112607771175,400,1.2964932765172998,1.1758885598832651
1,45,45,1,sig,5000,1,0.00973142268659992,True,0.0005,None,0.0010577865633138572,400,1.1146971707176214,1.3115399312605769
1,21,21,1,sig,5000,1,0.00890055315540204,True,0.0005,L1,0.007201122313523008,400,3.178840831704991,3.026181944429854
1,96,96,1,ReLU,5000,1,0.006907681216241001,True,0.0005,L1,0.007760931492853811,400,1.7396686481016284,1.4722870893879068
1,79,79,1,leaky ReLU,5000,1,0.004664104677394557,True,0.0005,L2,0.009142938263076085,400,1.20169000747297,1.3026594490992132
1,91,91,1,sig,5000,1,0.007363450337511045,True,0.0005,L1,0.005940887975005049,400,3.5961310384290464,3.5647118229805552
1,97,97,1,leaky ReLU,5000,1,0.007351004526490079,True,0.0005,None,0.003409071502922205,400,1.1595556670258853,1.3504247197536656
1,65,65,1,sig,5000,1,0.005301507732827897,True,0.0005,None,0.0034852814310833698,400,1.2500013658530134,1.3127784616244838
1,72,72,1,leaky ReLU,5000,1,0.00954253779910215,True,0.0005,L2,0.005142318578730836,400,1.8293030517442417,1.6256839476081504
1,92,92,1,leaky ReLU,5000,1,0.00653286292310769,True,0.0005,None,0.007705139772300539,400,1.2185126115929652,1.357869484023344
1,68,68,1,leaky ReLU,5000,1,0.007293563587172288,True,0.0005,L1,0.009133166626763278,400,1.8140039208092456,1.5498916811086842
1,49,49,1,sig,5000,1,0.0072639647031155444,True,0.0005,L1,0.004991681404886962,400,3.611415768673984,3.5688839051641503
1,76,76,1,ReLU,5000,1,0.005431896123352765,True,0.0005,None,0.003565188796209938,400,1.0712951269516942,1.303602821617496
1,75,75,1,leaky ReLU,5000,1,0.003663920040290944,True,0.0005,None,0.003907019642259089,400,1.0780755229011285,1.2472178474667655
1,25,25,1,sig,5000,1,0.005658317777724057,True,0.0005,None,0.0028468220434442384,400,1.3219633547851648,1.3696816619406338
1,6,6,1,leaky ReLU,5000,1,0.006670291648804646,True,0.0005,L1,0.004433599160214687,400,3.9471374999294944,1.3735925164482354
1,60,60,1,leaky ReLU,5000,1,0.006173387323843693,True,0.0005,None,0.009915974257589555,400,1.251891456409443,1.3087963933943492
1,51,51,1,ReLU,5000,1,0.009822885384385027,True,0.0005,L2,0.004594907279229607,400,4.3554524586703,4.2053018572698
1,65,65,1,sig,5000,1,0.0053951884513608475,True,0.0005,L2,0.006584596651439936,400,1.5351945754483158,1.6214955143798226
1,37,37,1,sig,5000,1,0.0024256295124278375,True,0.0005,L1,0.004452581551101283,400,1.4766729028132177,1.574702317658757
1,63,63,1,leaky ReLU,5000,1,0.0020496478586866955,True,0.0005,L2,0.005320745422676981,400,1.1234655506454938,1.3755231013630715
